EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,holidays
31,26,Yes,Travel_Rarely,Research & Development,4,3,Medical,Male,3,Research Scientist,Divorced,68540,2,11,0,5,5,3,0,2,1,2,3,2,3,11
32,28,No,Travel_Rarely,Research & Development,7,3,Other,Male,1,Human Resources,Single,96370,1,13,0,5,6,5,0,2,4,4,3,2,3,7
33,49,No,Travel_Frequently,Research & Development,1,1,Medical,Female,2,Research Scientist,Single,35910,9,13,0,22,2,3,1,2,3,1,3,3,3,15
34,36,No,Travel_Rarely,Sales,5,3,Technical Degree,Male,3,Sales Executive,Single,54050,4,14,0,10,2,8,7,7,3,2,3,3,3,6
35,31,No,Travel_Frequently,Research & Development,9,4,Medical,Male,1,Sales Executive,Divorced,46840,1,16,1,2,4,2,2,2,4,2,2,3,3,9
36,26,Yes,Travel_Rarely,Research & Development,8,3,Medical,Male,2,Manager,Single,157870,1,12,2,8,5,8,7,4,4,4,3,3,3,17
37,37,No,Travel_Frequently,Sales,9,1,Marketing,Male,1,Laboratory Technician,Married,15140,1,14,0,4,3,4,1,2,2,4,2,3,3,7
38,42,No,Travel_Frequently,Sales,2,2,Marketing,Male,3,Research Director,Married,29560,5,13,0,23,2,20,4,8,3,2,4,3,3,19
39,18,Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,1,Sales Executive,Single,23350,1,14,2,0,3,0,0,0,3,3,3,2,3,22
40,35,No,Travel_Rarely,Sales,20,2,Life Sciences,Male,1,Laboratory Technician,Married,51540,0,19,0,12,2,11,6,9,3,2,2,2,3,10
41,36,No,Travel_Frequently,Research & Development,8,3,Other,Female,3,Sales Executive,Married,69620,4,12,2,4,2,1,0,0,3,NA,3,2,3,5
42,51,No,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,2,Laboratory Technician,Divorced,56750,5,13,0,13,2,4,1,2,4,2,3,2,3,14
43,41,No,Travel_Rarely,Research & Development,29,1,Life Sciences,Male,1,Laboratory Technician,Single,23790,1,12,0,22,6,22,0,4,4,2,3,3,3,7
44,18,No,Travel_Rarely,Sales,7,3,Life Sciences,Male,1,Research Scientist,Single,38120,1,15,0,0,3,0,0,0,4,3,3,3,3,9
45,28,No,Travel_Rarely,Research & Development,9,3,Medical,Male,1,Sales Representative,Single,46480,0,23,2,9,2,8,0,7,2,1,3,2,4,5
46,31,No,Travel_Rarely,Research & Development,8,1,Technical Degree,Male,1,Manufacturing Director,Married,29360,4,12,1,10,2,8,7,7,2,4,2,3,3,9
47,39,No,Travel_Rarely,Sales,5,4,Marketing,Female,2,Human Resources,Divorced,21050,0,20,0,19,3,18,3,7,3,4,2,3,4,14
48,36,No,Non-Travel,Research & Development,5,4,Life Sciences,Male,1,Sales Executive,Married,85780,7,21,0,11,4,9,0,8,2,2,3,3,4,12
49,32,No,Travel_Rarely,Sales,2,3,Marketing,Male,2,Laboratory Technician,Married,27060,1,21,1,13,4,13,4,8,4,3,2,3,4,22
50,38,No,Travel_Rarely,Research & Development,5,2,Life Sciences,Female,3,Research Scientist,Married,63840,3,19,2,19,4,10,0,1,1,2,3,2,3,21
51,58,No,Non-Travel,Research & Development,2,3,Life Sciences,Male,2,Manufacturing Director,Divorced,39680,2,13,2,12,3,5,1,2,4,3,3,2,3,7
52,31,No,Travel_Rarely,Research & Development,20,1,Technical Degree,Female,3,Research Scientist,Married,99070,0,13,1,6,3,5,0,3,3,4,3,2,3,12
53,31,No,Travel_Rarely,Sales,7,4,Marketing,Male,2,Sales Executive,Married,132250,3,21,1,9,2,2,1,0,1,1,3,3,4,10
54,45,No,Travel_Frequently,Research & Development,3,1,Medical,Female,1,Sales Executive,Divorced,35400,1,13,0,24,6,24,9,11,1,1,3,3,3,13
55,31,No,Travel_Rarely,Sales,16,4,Marketing,Female,2,Research Scientist,Divorced,28040,0,19,2,3,0,2,2,2,3,4,1,3,3,5
56,33,No,Travel_Frequently,Research & Development,9,3,Life Sciences,Male,4,Research Director,Married,193920,6,12,1,12,3,10,8,8,4,2,3,3,3,12
57,39,No,Travel_Rarely,Sales,1,4,Life Sciences,Male,1,Sales Executive,Married,196650,1,22,1,21,6,21,11,10,3,1,3,3,4,4
58,43,No,Travel_Frequently,Research & Development,7,4,Medical,Male,4,Research Scientist,Single,24390,0,15,0,9,2,8,1,7,3,4,3,3,3,22
59,49,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,Manufacturing Director,Single,73140,7,22,0,25,2,7,0,7,3,3,3,3,4,6
60,52,Yes,Travel_Rarely,Research & Development,7,1,Life Sciences,Female,2,Research Scientist,Married,47740,2,18,1,11,2,8,7,7,3,2,2,3,3,10
61,27,No,Travel_Rarely,Research & Development,15,4,Medical,Male,3,Research Scientist,Single,39020,1,22,0,4,2,4,1,2,3,2,2,3,4,5
62,32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,Research Scientist,Married,26620,1,11,1,13,6,13,11,9,3,2,3,4,3,10
63,27,No,Travel_Rarely,Research & Development,13,2,Medical,Female,4,Research Director,Single,28560,1,12,2,5,5,5,0,4,4,3,3,4,3,18
64,31,No,Travel_Rarely,Sales,24,3,Life Sciences,Male,2,Healthcare Representative,Divorced,10810,4,11,3,13,4,7,1,7,4,4,3,4,3,6
65,32,No,Travel_Rarely,Research & Development,7,3,Technical Degree,Male,2,Healthcare Representative,Single,24720,7,13,0,10,2,7,0,7,1,4,2,3,3,12
66,28,Yes,Travel_Rarely,Research & Development,9,4,Medical,Male,1,Sales Executive,Married,56730,5,14,1,5,4,3,2,2,1,4,2,2,3,2
67,30,No,Travel_Rarely,Research & Development,13,3,Life Sciences,Female,4,Research Director,Married,41970,1,13,0,11,3,10,1,9,4,4,3,3,3,17
68,31,No,Travel_Frequently,Research & Development,2,1,Life Sciences,Female,1,Manager,Married,97130,1,17,0,10,5,10,8,9,3,3,3,2,3,22
69,39,No,Travel_Frequently,Research & Development,19,4,Medical,Female,1,Research Scientist,Married,20620,1,13,0,21,4,21,13,3,3,4,3,3,3,21
70,39,Yes,Travel_Rarely,Research & Development,1,1,Medical,Female,1,Laboratory Technician,Married,42840,4,17,1,12,0,1,0,0,4,3,2,3,3,3
71,33,No,Travel_Frequently,Sales,4,2,Life Sciences,Male,4,Research Scientist,Single,47880,3,11,1,9,0,7,0,1,2,4,2,3,3,7
72,47,No,Travel_Rarely,Research & Development,4,3,Life Sciences,Female,2,Healthcare Representative,Married,59060,4,23,0,21,4,3,1,1,4,3,3,4,4,6
73,43,No,Travel_Frequently,Research & Development,14,3,Medical,Female,5,Research Director,Divorced,38860,1,17,2,9,2,9,0,0,3,3,4,3,3,14
74,27,No,Non-Travel,Research & Development,2,3,Life Sciences,Male,1,Research Director,Married,168230,0,17,0,6,3,5,1,4,3,2,3,3,3,18
75,54,No,Travel_Frequently,Research & Development,1,4,Life Sciences,Male,2,Research Scientist,Single,29330,3,12,2,20,2,4,0,3,4,3,2,3,3,17
76,43,No,Travel_Rarely,Research & Development,7,2,Life Sciences,Female,2,Manager,Married,65000,8,23,0,10,3,1,0,0,3,1,2,3,4,11
77,45,No,Travel_Rarely,Sales,3,1,Marketing,Female,1,Sales Executive,Married,171740,9,14,1,12,6,10,9,8,4,4,3,3,3,7
78,40,No,Travel_Rarely,Research & Development,2,4,Other,Male,4,Research Scientist,Married,50330,2,14,2,6,6,4,0,2,2,4,2,3,3,18
79,29,Yes,Travel_Rarely,Research & Development,29,3,Medical,Female,1,Research Scientist,Married,23070,1,13,1,7,0,7,0,7,2,1,2,3,3,19
80,29,No,Travel_Rarely,Human Resources,8,3,Medical,Male,3,Sales Representative,Single,25870,0,22,2,4,3,3,2,2,2,4,3,3,4,10
81,30,No,Travel_Rarely,Research & Development,10,3,Life Sciences,Male,2,Research Scientist,Divorced,55070,1,12,2,10,2,10,1,2,4,3,3,2,3,17
82,27,No,Travel_Rarely,Research & Development,11,2,Medical,Male,1,Manager,Married,43930,1,18,1,8,2,8,0,7,2,2,3,2,3,5
83,37,No,Travel_Rarely,Sales,1,4,Life Sciences,Male,2,Healthcare Representative,Divorced,133480,7,14,0,8,4,6,0,4,4,4,2,3,3,13
84,38,No,Travel_Rarely,Research & Development,28,4,Medical,Male,1,Laboratory Technician,Divorced,65830,0,12,0,12,1,11,2,9,3,4,3,3,3,7
85,31,No,Travel_Rarely,Research & Development,6,3,Medical,Female,3,Manager,Single,81030,1,15,1,11,5,11,4,10,3,4,NA,3,3,11
86,29,No,Travel_Rarely,Research & Development,3,4,Life Sciences,Male,3,Sales Executive,Divorced,39780,1,11,0,7,0,7,1,7,4,2,3,3,3,5
87,35,No,Travel_Rarely,Sales,16,2,Technical Degree,Male,3,Manager,Single,25440,0,13,1,17,3,16,0,13,3,2,3,4,3,16
88,23,No,Travel_Rarely,Research & Development,20,4,Life Sciences,Male,1,Manufacturing Director,Divorced,53990,1,23,0,4,2,4,0,2,3,4,2,2,4,12
89,41,No,Travel_Rarely,Research & Development,9,2,Life Sciences,Female,1,Laboratory Technician,Single,54870,6,19,2,8,0,5,1,2,4,2,3,3,3,10
90,47,No,Travel_Frequently,Sales,1,3,Medical,Female,2,Laboratory Technician,Single,68340,3,16,1,5,2,0,0,0,2,3,3,4,3,10
91,42,No,Travel_Rarely,Research & Development,3,4,Life Sciences,Male,1,Manager,Single,10910,2,22,0,16,0,1,0,0,1,4,3,1,4,12
92,29,No,Non-Travel,Sales,22,4,Marketing,Male,2,Human Resources,Married,57360,1,22,0,4,1,4,0,2,4,3,2,2,4,16
93,42,No,Travel_Rarely,Sales,7,4,Medical,Male,3,Research Scientist,Divorced,22260,0,12,1,4,3,3,1,0,3,3,3,2,3,21
94,32,No,Travel_Rarely,Research & Development,2,3,Medical,Male,2,Research Scientist,Married,57470,1,13,0,8,0,8,0,7,3,2,3,3,3,18
95,48,No,Travel_Rarely,Sales,13,4,Medical,Male,4,Sales Executive,Married,98540,3,16,1,15,2,0,0,0,1,3,1,2,3,16
96,37,No,Travel_Rarely,Research & Development,8,5,Technical Degree,Male,2,Manufacturing Director,Divorced,54670,4,12,0,13,2,7,6,7,3,1,3,3,3,2
97,30,No,Non-Travel,Sales,25,4,Other,Male,1,Healthcare Representative,Married,53800,7,21,1,4,0,2,2,2,4,3,4,3,4,4
98,26,No,Travel_Rarely,Sales,28,3,Medical,Female,5,Laboratory Technician,Married,51510,1,15,3,8,3,8,7,7,3,3,3,3,3,6
99,42,No,Travel_Rarely,Sales,2,2,Medical,Female,1,Laboratory Technician,Single,21330,3,13,2,14,2,1,0,0,1,4,3,3,3,10
100,21,Yes,Travel_Frequently,Research & Development,9,3,Medical,Female,4,Manufacturing Director,Single,178750,1,12,0,3,5,3,1,2,1,2,3,2,3,5
101,36,No,Non-Travel,Human Resources,28,3,Human Resources,Male,2,Laboratory Technician,Single,24320,4,22,0,7,4,1,0,0,4,4,3,1,4,17
102,36,No,Travel_Frequently,Research & Development,6,3,Life Sciences,Female,2,Research Scientist,Married,47710,4,13,1,16,2,13,1,12,1,4,3,3,3,11
103,57,No,Travel_Rarely,Research & Development,21,4,Life Sciences,Male,5,Research Scientist,Married,191610,2,18,0,15,2,3,1,2,4,3,3,1,3,14
104,40,No,Travel_Rarely,Research & Development,8,3,Other,Male,2,Sales Executive,Married,50870,3,14,1,10,3,7,1,7,4,3,3,3,3,16
105,21,No,Non-Travel,Research & Development,1,5,Life Sciences,Female,2,Manager,Single,28630,1,14,0,3,2,3,2,2,1,4,2,1,3,20
106,33,Yes,Travel_Rarely,Human Resources,28,2,Human Resources,Female,5,Manager,Single,55610,1,21,1,1,3,1,0,0,4,3,3,1,4,18
107,37,No,Travel_Rarely,Research & Development,5,3,Life Sciences,Male,4,Research Scientist,Married,21440,6,19,0,17,3,5,0,3,3,1,3,4,3,18
108,46,No,Non-Travel,Sales,2,4,Marketing,Female,2,Laboratory Technician,Married,30650,2,11,0,7,3,1,0,0,3,3,4,3,3,21
109,41,Yes,Travel_Frequently,Research & Development,16,1,Medical,Female,1,Research Scientist,Single,28100,1,11,0,8,3,8,7,7,1,2,3,4,3,16
110,50,No,Travel_Rarely,Research & Development,9,3,Medical,Female,3,Laboratory Technician,Single,98880,6,15,0,20,2,4,1,3,4,4,3,3,3,19
111,40,Yes,Travel_Rarely,Research & Development,8,3,Medical,Female,1,Healthcare Representative,Married,86280,2,20,0,8,2,6,1,0,3,3,3,2,4,15
112,31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,4,Human Resources,Single,28670,0,24,0,3,5,2,2,2,NA,2,3,3,4,3
113,21,Yes,Travel_Rarely,Human Resources,10,2,Human Resources,Male,1,Laboratory Technician,Single,53730,1,12,1,1,2,1,0,0,3,2,3,3,3,19
114,29,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,2,Research Director,Single,66670,9,12,1,6,6,3,1,2,4,4,3,4,3,4
115,35,No,Travel_Rarely,Research & Development,29,3,Life Sciences,Female,3,Sales Executive,Single,50030,9,15,0,10,2,1,0,0,3,2,3,3,3,13
116,27,No,Travel_Rarely,Sales,2,3,Life Sciences,Male,1,Sales Executive,Divorced,23670,NA,12,1,5,2,5,0,4,4,2,3,3,3,15
117,28,No,Travel_Rarely,Research & Development,2,2,Medical,Male,3,Manager,Single,28580,1,12,0,7,2,7,0,7,2,4,3,2,3,17
118,49,No,Travel_Rarely,Sales,2,3,Technical Degree,Male,2,Manufacturing Director,Single,52040,8,14,1,26,3,5,0,0,2,3,3,3,3,9
119,51,No,Travel_Rarely,Research & Development,1,2,Life Sciences,Male,1,Sales Executive,Married,41050,4,22,1,18,2,7,0,7,3,4,2,3,4,21
120,36,No,Travel_Rarely,Sales,15,2,Life Sciences,Male,1,Sales Executive,Married,96790,4,12,0,6,1,2,2,2,4,3,3,3,3,15
121,34,Yes,Non-Travel,Research & Development,7,3,Life Sciences,Male,1,Sales Representative,Single,56170,8,25,1,9,3,5,0,4,1,4,2,3,4,14
122,55,No,Travel_Rarely,Sales,26,3,Marketing,Male,1,Laboratory Technician,Single,104480,2,13,0,30,3,5,1,2,3,4,3,3,3,13
123,24,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,5,Manager,Divorced,28970,1,18,3,5,4,5,0,3,4,3,4,3,3,19
124,30,No,Travel_Rarely,Research & Development,3,3,Life Sciences,Female,2,Manager,Married,59680,1,13,0,1,3,1,0,0,3,2,3,3,3,18
125,26,Yes,Travel_Frequently,Sales,14,3,Life Sciences,Male,2,Manager,Single,75100,0,18,3,7,3,6,0,4,3,NA,3,3,3,9
126,22,No,Travel_Rarely,Research & Development,16,5,Other,Male,1,Research Scientist,Married,29910,1,19,2,2,3,2,1,2,1,2,3,2,3,18
127,36,No,Travel_Rarely,Research & Development,1,3,Medical,Female,5,Healthcare Representative,Married,196360,1,12,1,10,3,10,9,0,2,3,3,3,3,13
128,30,Yes,Travel_Frequently,Sales,3,2,Marketing,Male,3,Research Scientist,Single,11290,9,19,0,3,2,1,0,0,3,4,3,2,3,9
129,37,No,Travel_Rarely,Research & Development,10,1,Technical Degree,Male,1,Sales Executive,Divorced,133410,1,14,1,18,3,18,12,17,4,1,2,3,3,9
130,40,No,Travel_Rarely,Research & Development,6,2,Medical,Male,3,Research Scientist,Divorced,43320,7,14,2,8,3,5,1,3,4,2,3,2,3,19
131,42,No,Travel_Rarely,Research & Development,2,3,Medical,Female,4,Manager,Divorced,110310,3,12,1,8,2,5,1,2,2,1,3,2,3,14
132,37,No,Travel_Rarely,Sales,9,1,Marketing,Male,3,Sales Executive,Single,44400,2,11,1,18,3,1,0,1,3,2,2,2,3,4
133,43,No,Travel_Rarely,Sales,10,2,Life Sciences,Female,1,Sales Executive,Divorced,46170,1,11,0,25,2,25,3,9,1,2,3,3,3,14
134,40,No,Travel_Rarely,Sales,6,2,Life Sciences,Female,1,Laboratory Technician,Married,26470,6,13,0,20,2,1,0,0,2,3,3,2,3,11
135,54,No,Travel_Rarely,Human Resources,9,3,Life Sciences,Female,2,Manufacturing Director,Married,63230,4,23,1,24,2,4,1,2,1,1,2,2,4,22
136,34,No,Non-Travel,Research & Development,28,3,Medical,Male,1,Laboratory Technician,Married,56770,9,20,1,6,3,3,1,2,3,3,3,3,4,15
137,31,No,Travel_Rarely,Research & Development,10,4,Life Sciences,Male,3,Sales Executive,Married,21870,1,15,1,13,2,13,3,12,2,1,1,2,3,17
138,43,No,Travel_Frequently,Sales,14,3,Life Sciences,Female,1,Manufacturing Director,Married,37480,7,14,2,NA,3,3,1,2,4,4,3,2,3,22
139,43,No,Travel_Rarely,Sales,27,4,Life Sciences,Male,2,Sales Representative,Divorced,39770,4,18,1,8,3,5,0,2,3,3,3,3,3,11
140,25,No,Travel_Rarely,Human Resources,7,2,Human Resources,Male,1,Manufacturing Director,Single,86330,1,19,1,5,2,5,1,3,2,4,3,4,3,17
141,37,No,Non-Travel,Research & Development,1,3,Medical,Male,3,Laboratory Technician,Married,20080,3,22,0,15,5,13,10,7,2,3,3,2,4,16
142,31,No,Travel_Rarely,Research & Development,24,1,Medical,Male,3,Laboratory Technician,Married,44400,1,13,1,4,2,4,3,2,4,1,3,3,3,17
143,39,No,Travel_Frequently,Research & Development,26,4,Technical Degree,Female,1,Sales Executive,Divorced,30670,1,20,1,21,5,21,1,6,2,3,3,1,4,4
144,56,No,Travel_Frequently,Research & Development,20,4,Life Sciences,Female,3,Sales Executive,Married,53210,9,14,0,36,1,7,7,7,3,1,2,3,3,10
145,30,No,Travel_Rarely,Sales,5,4,Medical,Female,2,Manufacturing Director,Single,54100,0,17,1,6,2,5,4,4,2,3,3,3,3,4
146,41,No,Travel_Rarely,Research & Development,7,3,Technical Degree,Female,3,Research Scientist,Married,27820,1,14,0,10,2,10,0,7,2,1,3,2,3,8
147,28,No,Travel_Rarely,Research & Development,7,3,Medical,Male,3,Healthcare Representative,Divorced,119570,1,13,0,10,2,10,1,8,3,1,3,2,3,13
148,25,Yes,Travel_Rarely,Research & Development,5,2,Life Sciences,Female,3,Laboratory Technician,Married,26600,5,13,0,6,3,2,0,2,1,1,3,3,3,13
149,52,No,Travel_Rarely,Research & Development,26,2,Life Sciences,Female,2,Sales Representative,Married,33750,2,21,0,28,2,5,0,4,4,3,3,2,4,6
150,45,No,Travel_Rarely,Research & Development,2,3,Medical,Female,1,Sales Executive,Married,50980,3,14,1,8,4,2,0,2,1,4,2,3,3,12
151,52,No,Travel_Rarely,Research & Development,12,3,Medical,Male,2,Research Scientist,Married,48780,2,11,1,31,3,5,1,4,4,4,1,3,3,14
152,42,No,Travel_Frequently,Sales,10,3,Marketing,Female,2,Healthcare Representative,Divorced,28370,2,13,1,19,0,5,0,2,1,3,3,2,3,16
153,30,No,Travel_Rarely,Sales,25,3,Marketing,Male,1,Sales Executive,Single,24060,2,20,1,11,5,5,0,2,3,4,3,3,4,19
154,60,No,Travel_Rarely,Research & Development,10,3,Life Sciences,Female,1,Manufacturing Director,Married,22690,5,18,1,33,4,29,11,10,1,1,1,3,3,17
155,46,No,Travel_Rarely,Sales,19,4,Marketing,Female,1,Sales Executive,Divorced,41080,2,14,0,19,5,10,0,8,3,3,2,2,3,12
156,42,No,Travel_Frequently,Research & Development,18,4,Technical Degree,Male,4,Sales Executive,Married,132060,0,13,2,7,2,6,0,4,4,4,4,3,3,11
157,24,Yes,Travel_Rarely,Research & Development,27,2,Medical,Male,1,Research Scientist,Single,104220,1,17,1,6,0,5,1,4,1,2,3,2,3,13
158,34,Yes,Travel_Frequently,Research & Development,5,3,Medical,Male,2,Research Scientist,Divorced,137440,0,20,1,3,3,2,1,0,4,3,2,3,4,22
159,38,No,Travel_Frequently,Sales,3,3,Marketing,Female,2,Sales Executive,Married,49070,1,11,1,1,3,1,0,0,4,4,3,3,3,12
160,40,No,Travel_Rarely,Sales,26,4,Marketing,Female,1,Sales Executive,Married,34820,0,18,1,21,2,20,1,12,3,3,3,2,3,19
161,26,No,Travel_Rarely,Research & Development,3,2,Medical,Female,4,Healthcare Representative,Divorced,24360,1,24,0,3,2,3,0,2,1,4,1,4,4,22
162,30,No,Non-Travel,Research & Development,15,3,Medical,Female,2,Sales Executive,Married,23800,4,18,3,9,2,5,1,4,3,4,1,2,3,15
163,29,No,Travel_Rarely,Research & Development,8,3,Medical,Female,3,Manufacturing Director,Married,194310,1,11,0,10,3,10,0,7,2,3,3,3,3,7
164,29,Yes,Travel_Rarely,Research & Development,19,4,Life Sciences,Male,3,Research Scientist,Married,17900,5,16,1,6,4,2,1,1,3,2,4,2,3,12
165,19,Yes,Travel_Rarely,Research & Development,4,3,Medical,Male,1,Sales Executive,Single,76440,1,15,2,1,2,1,0,0,1,4,4,3,3,15
166,30,No,Non-Travel,Research & Development,2,4,Life Sciences,Female,3,Research Scientist,Married,51310,0,15,1,10,2,9,7,8,3,1,3,3,3,10
167,57,No,Travel_Rarely,Research & Development,2,2,Life Sciences,Male,4,Research Scientist,Divorced,63060,3,12,1,32,3,1,0,0,1,4,2,3,3,18
168,50,No,Travel_Rarely,Sales,10,4,Life Sciences,Female,3,Manager,Married,47870,0,12,0,28,3,27,15,7,2,3,3,3,3,6
169,30,No,Non-Travel,Sales,10,2,Life Sciences,Male,3,Laboratory Technician,Single,188800,0,22,1,12,3,11,6,7,3,4,2,3,4,9
170,60,No,Travel_Frequently,Research & Development,16,3,Life Sciences,Female,4,Laboratory Technician,Married,23390,4,20,0,22,4,18,13,11,3,1,4,3,4,18
171,47,No,Travel_Rarely,Research & Development,1,3,Technical Degree,Male,5,Manufacturing Director,Divorced,135700,5,16,2,20,2,5,0,4,1,4,3,2,3,19
172,46,No,Travel_Rarely,Sales,4,1,Technical Degree,Male,1,Laboratory Technician,Married,67120,6,21,1,26,3,3,0,1,1,3,1,2,4,7
173,35,No,Travel_Rarely,Research & Development,15,2,Medical,Female,2,Laboratory Technician,Single,54060,0,12,1,6,2,5,4,3,4,3,3,3,3,15
174,54,No,Travel_Rarely,Research & Development,2,4,Medical,Male,2,Human Resources,Single,89380,7,11,3,19,2,1,0,0,3,3,3,3,3,8
175,34,No,Travel_Rarely,Sales,8,2,Life Sciences,Male,1,Laboratory Technician,Divorced,24390,3,11,2,14,2,7,5,7,4,3,3,4,3,15
176,46,No,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,1,Healthcare Representative,Married,88370,2,18,0,15,3,3,1,2,3,4,3,2,3,15
